name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"17.4116,78.3987",2022-07-01T00:00:00,25,25,21,78.5,0,0,,0,0,31.3,16.5,255,1007,89,5,0,,0,10,Partially cloudy,partly-cloudy-night,"43128599999,VOHS"
"17.4116,78.3987",2022-07-01T01:00:00,24.5,24.5,21,80.81,0,0,rain,0,0,38.2,18.6,270,1007,89,5,0,,0,10,Partially cloudy,partly-cloudy-night,"43128599999,VOHS"
"17.4116,78.3987",2022-07-01T02:00:00,25.3,25.3,22,82.15,0,0,,0,0,43.9,14.3,270,1002.5,44.2,4.2,0,,0,10,Partially cloudy,partly-cloudy-night,"43128599999,43128099999,VOHS"
"17.4116,78.3987",2022-07-01T03:00:00,24,24,21,83.34,0,0,,0,0,36.7,13,260,1006,89,5,0,,0,10,Partially cloudy,partly-cloudy-night,"43128599999,VOHS"
"17.4116,78.3987",2022-07-01T04:00:00,23.5,23.5,21,85.81,0,0,,0,0,36,15.6,265,1006,89,5,0,,0,10,Partially cloudy,partly-cloudy-night,"43128599999,VOHS"
"17.4116,78.3987",2022-07-01T05:00:00,24.3,24.3,21,82.27,0,0,,0,0,36.4,5.7,270,1002.4,67,4.2,0,,0,10,Partially cloudy,partly-cloudy-night,"43128599999,43128099999,VOHS"
"17.4116,78.3987",2022-07-01T06:00:00,23,23,21,88.52,0,0,,0,0,39.2,18.5,260,1007,89,5,0,,0,10,Partially cloudy,partly-cloudy-day,"43128599999,VOHS"
"17.4116,78.3987",2022-07-01T07:00:00,23.2,23.2,21.9,92.06,0,0,,0,0,40.7,11.2,286,1007,89.1,6,22,0.1,0,10,Partially cloudy,partly-cloudy-day,"VOHY,43128599999,43128099999,VOHS"
"17.4116,78.3987",2022-07-01T08:00:00,26.1,26.1,22.1,78.47,0,0,,0,0,33.5,10.5,271,1005.1,57.8,5.1,149,0.5,1,10,Partially cloudy,partly-cloudy-day,"VOHY,43083099999,43128599999,43128099999,VOHS"
"17.4116,78.3987",2022-07-01T09:00:00,26.3,26.3,22.9,81.79,0,0,,0,0,33.5,10.1,298,1008,50,6,324,1.2,3,10,Partially cloudy,partly-cloudy-day,"VOHY,43128599999,43128099999,VOHS"
"17.4116,78.3987",2022-07-01T10:00:00,27.3,30.1,22.9,77.11,0,0,,0,0,33.5,10.1,299,1008,55.7,6,584,2.1,6,10,Partially cloudy,partly-cloudy-day,"VOHY,43128599999,43128099999,VOHS"
"17.4116,78.3987",2022-07-01T11:00:00,29.1,32.9,23,69.72,0,0,,0,0,31.7,8.8,321,1004.8,66.5,5.1,752,2.7,8,10,Partially cloudy,partly-cloudy-day,"VOHY,43128599999,43128099999,VOHS"
"17.4116,78.3987",2022-07-01T12:00:00,28.3,32.3,23.8,76.59,0,0,,0,0,28.1,11.8,290,1007,55.7,6,793,2.9,8,10,Partially cloudy,partly-cloudy-day,"VOHY,43128599999,43128099999,VOHS"
"17.4116,78.3987",2022-07-01T13:00:00,29.2,33.7,23.7,72.26,0,0,rain,0,0,27.4,12,316,1006,55.7,6,588,2.1,6,10,Partially cloudy,partly-cloudy-day,"VOHY,43128599999,43128099999,VOHS"
"17.4116,78.3987",2022-07-01T14:00:00,30.7,35.1,23,63.57,0,0,,0,0,25.9,7.2,280,1002.5,54.6,5.1,504,1.8,5,10,Partially cloudy,partly-cloudy-day,"VOHY,43128599999,43128099999,VOHS"
