hii,Time,Date,Daily Generation (Active)(kWh),,,,,,,,
12,18:00:00,02-05-2022,130.8,,,,,,,,
25,18:00:00,03-05-2022,131.2,,,,month,starting date,ending date,solar energy genrated,electric energy used
38,18:00:00,04-05-2022,104.2,,,,5,17-05-2022,21-06-2022,31099.4,100132
39,06:00:00,05-05-2022,1.4,,,,6,21-06-2022,18-07-2022,14884.7,77696
40,07:00:00,05-05-2022,6.2,,,,7,18-07-2022,18-08-2022,19817.5,83226
41,08:00:00,05-05-2022,16.6,,,,8,18-08-2022,17-09-2022,22148.6,76882
42,09:00:00,05-05-2022,32.5,,,,9,17-09-2022,19-10-2022,21995.7,59068
43,10:00:00,05-05-2022,44.6,,,,10,19-10-2022,17-11-2022,26569.2,70088
44,11:00:00,05-05-2022,53.2,,,,11,17-11-2022,19-12-2022,19774.3,92278
45,12:00:00,05-05-2022,72.7,,,,12,19-12-2022,18-01-2023,22372.4,68848
46,13:00:00,05-05-2022,90.1,,,,,,,,
47,14:00:00,05-05-2022,106.5,,,,,,,,
48,15:00:00,05-05-2022,118.5,,,,,,,,
49,16:00:00,05-05-2022,122.1,,,,,,,,
50,17:00:00,05-05-2022,123.5,,,,,,,,
51,18:00:00,05-05-2022,123.8,,,,,,,,
52,06:00:00,06-05-2022,1,,,,,,,,
53,07:00:00,06-05-2022,5.6,,,,,,,,
54,08:00:00,06-05-2022,16.8,,,,,,,,
55,09:00:00,06-05-2022,31.3,,,,,,,,
56,10:00:00,06-05-2022,50.6,,,,,,,,
57,11:00:00,06-05-2022,69.7,,,,,,,,
58,12:00:00,06-05-2022,91,,,,,,,,
59,13:00:00,06-05-2022,109.1,,,,,,,,
60,14:00:00,06-05-2022,122.8,,,,,,,,
61,15:00:00,06-05-2022,133.9,,,,,,,,
62,16:00:00,06-05-2022,137.8,,,,,,,,
63,17:00:00,06-05-2022,139.2,,,,,,,,
64,18:00:00,06-05-2022,139.5,,,,,,,,
65,06:00:00,07-05-2022,1.1,,,,,,,,
66,07:00:00,07-05-2022,5.1,,,,,,,,
67,08:00:00,07-05-2022,16.4,,,,,,,,
68,09:00:00,07-05-2022,31.5,,,,,,,,
69,10:00:00,07-05-2022,50.8,,,,,,,,
70,11:00:00,07-05-2022,69.6,,,,,,,,
71,12:00:00,07-05-2022,88.8,,,,,,,,
72,13:00:00,07-05-2022,105.6,,,,,,,,
73,14:00:00,07-05-2022,122.5,,,,,,,,
74,15:00:00,07-05-2022,132.2,,,,,,,,
75,16:00:00,07-05-2022,136,,,,,,,,
76,17:00:00,07-05-2022,137.5,,,,,,,,
77,18:00:00,07-05-2022,137.7,,,,,,,,
78,06:00:00,08-05-2022,0.7,,,,,,,,
79,07:00:00,08-05-2022,5.9,,,,,,,,
80,08:00:00,08-05-2022,16,,,,,,,,
81,09:00:00,08-05-2022,29.8,,,,,,,,
82,10:00:00,08-05-2022,47.3,,,,,,,,
83,11:00:00,08-05-2022,63.6,,,,,,,,
84,12:00:00,08-05-2022,83.4,,,,,,,,
85,13:00:00,08-05-2022,97.5,,,,,,,,
86,14:00:00,08-05-2022,108.3,,,,,,,,
87,15:00:00,08-05-2022,114,,,,,,,,
88,16:00:00,08-05-2022,117.6,,,,,,,,
89,17:00:00,08-05-2022,119.4,,,,,,,,
90,18:00:00,08-05-2022,119.6,,,,,,,,
91,06:00:00,09-05-2022,0.8,,,,,,,,
92,07:00:00,09-05-2022,6.1,,,,,,,,
93,08:00:00,09-05-2022,15.8,,,,,,,,
94,09:00:00,09-05-2022,29.8,,,,,,,,
95,10:00:00,09-05-2022,46.8,,,,,,,,
96,11:00:00,09-05-2022,64.6,,,,,,,,
97,12:00:00,09-05-2022,82.4,,,,,,,,
98,13:00:00,09-05-2022,101.3,,,,,,,,
99,14:00:00,09-05-2022,116.3,,,,,,,,
100,15:00:00,09-05-2022,126.6,,,,,,,,
101,16:00:00,09-05-2022,131.3,,,,,,,,
102,17:00:00,09-05-2022,133.3,,,,,,,,
103,18:00:00,09-05-2022,133.6,,,,,,,,
104,06:00:00,10-05-2022,0.8,,,,,,,,
105,07:00:00,10-05-2022,4.7,,,,,,,,
106,08:00:00,10-05-2022,10.4,,,,,,,,
107,09:00:00,10-05-2022,20.4,,,,,,,,
108,10:00:00,10-05-2022,33.7,,,,,,,,
109,11:00:00,10-05-2022,53.2,,,,,,,,
