,Time,Date,DC total voltage (v),DC total current(A),AC total voltage (v),temp,dew,humidity,precip,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,Daily Generation (Active)(kWh)
0,0,121,2051.5333333333333,23.6,708.3166666666667,29.0,19.0,54.83,0.0,22.3,15.6,220.0,1009.0,50.0,5.0,0,0.9
1,1,121,2563.7545454545457,83.69999999999999,707.0181818181818,29.0,20.9,61.51,0.0,18.7,9.3,256.0,1010.0,83.4,5.9,22,5.3
2,2,121,2534.4666666666662,194.8,711.1,30.7,20.8,55.32,0.0,16.2,9.1,265.0,1007.1,60.3,7.9,159,15.3
3,3,121,2459.1454545454544,259.40000000000003,700.6,32.1,19.3,46.84,0.0,17.3,10.4,285.0,1011.0,83.4,6.0,457,28.7
4,4,121,2464.709090909091,241.9,685.0545454545454,33.1,18.2,41.4,0.0,19.4,8.0,270.0,1010.0,50.0,6.0,607,41.5
5,5,121,2386.0692307692307,389.0,682.7461538461539,35.1,17.6,35.51,0.0,17.3,7.5,299.0,1006.4,31.6,7.8,481,60.9
6,6,121,2341.8454545454547,375.9,683.9545454545454,35.2,17.0,34.01,0.0,14.4,6.4,326.0,1009.0,30.9,6.0,609,79.8
7,7,121,2362.8916666666664,409.5,697.2166666666666,36.2,15.2,28.61,0.0,9.0,8.1,352.0,1007.0,50.0,6.0,915,99.4
8,8,121,2396.0,353.1,668.8928571428571,38.8,15.5,25.39,0.0,10.4,5.7,310.0,1003.2,45.4,7.8,994,114.4
9,9,121,2524.225,186.7,657.6333333333333,37.1,15.7,28.18,0.0,13.0,8.5,18.0,1006.0,50.0,6.0,828,124.3
10,10,121,2533.2090909090907,82.89999999999999,667.7363636363636,38.1,14.0,23.91,0.0,13.7,7.8,8.0,1006.0,50.0,6.0,741,128.9
11,11,121,2473.7,35.9,696.5333333333333,38.7,12.5,21.02,0.0,10.8,4.6,47.0,1002.2,45.3,7.9,425,130.6
12,12,121,2046.5266666666666,8.5,713.36,35.2,14.9,29.65,0.0,30.2,4.4,63.0,1014.5,50.0,6.0,183,130.8
13,0,122,2107.7,16.1,709.409090909091,28.5,16.0,46.83,0.0,16.9,7.6,144.9,1009.0,68.5,6.0,0,0.6
14,1,122,2542.9249999999997,62.5,715.7333333333333,28.2,22.0,68.96,0.0,10.4,1.1,26.0,1010.0,55.7,5.1,24,3.7
15,2,122,2512.7916666666665,195.00000000000003,727.8833333333333,29.9,22.3,63.83,0.0,4.0,6.6,124.0,1007.8,51.0,5.1,215,12.8
16,3,122,2468.075,294.2,726.1,30.3,21.6,59.63,0.0,8.3,8.1,94.0,1011.0,21.4,6.0,459,27.7
17,4,122,2400.863636363636,335.90000000000003,747.0090909090909,32.1,22.6,57.28,0.0,7.2,6.4,99.0,1011.0,12.0,6.0,683,44.5
18,5,122,2359.375,413.30000000000007,736.1666666666666,33.9,22.0,49.92,0.0,6.5,7.7,100.0,1007.5,42.4,7.8,862,64.9
19,6,122,2314.5636363636363,383.4,736.2363636363636,34.1,21.8,48.81,0.0,6.1,6.8,70.0,1010.0,12.0,6.0,983,83.8
20,7,122,2317.766666666667,382.4,737.8166666666667,35.9,21.7,43.84,0.0,9.0,6.2,120.0,1009.0,6.6,6.0,1032,102.5
21,8,122,2368.4,342.0,718.7692307692307,37.1,19.5,35.92,0.0,8.3,5.4,130.0,1004.9,27.6,7.8,808,117.3
22,9,122,2399.2166666666662,188.79999999999998,713.3416666666667,37.1,20.6,38.4,0.0,5.8,4.4,115.0,1007.0,6.6,6.0,582,126.6
23,10,122,2448.383333333333,46.8,709.9083333333333,36.4,19.6,37.67,0.0,12.2,4.6,81.0,1007.0,13.9,6.0,546,128.8
24,11,122,2469.75,45.400000000000006,710.8166666666667,37.1,18.2,33.17,0.0,29.5,4.6,44.0,1003.4,44.7,7.9,255,131.0
25,12,122,1869.0,9.0,704.4416666666667,35.1,19.4,39.9,0.0,16.9,4.2,67.6,1007.0,12.0,6.0,309,131.2
26,0,123,1723.12,1.7000000000000002,738.86,20.5,19.5,94.0,0.0,55.4,37.1,45.0,1013.0,94.9,2.0,0,0.1
27,1,123,2370.475,9.5,724.9166666666667,19.1,19.1,100.0,0.0,46.4,14.3,114.0,1013.8,98.4,3.1,3,0.4
28,2,123,2609.0699999999997,13.399999999999999,722.42,20.6,19.6,94.27,62.7,8.3,11.8,73.0,1012.5,98.4,2.7,19,0.9
29,3,123,2607.6499999999996,119.39999999999999,720.6416666666667,20.5,20.1,97.76,0.0,2.2,8.5,151.0,1014.0,98.4,4.0,48,7.0
30,4,123,2561.1000000000004,196.9,723.3272727272727,22.4,20.9,91.19,0.0,2.5,2.7,32.0,1013.0,89.1,5.7,95,17.4
31,5,123,2416.992307692308,381.0,744.1153846153846,26.0,20.8,73.43,3.0,5.0,1.6,140.0,1010.6,93.7,4.9,210,35.1
32,6,123,2404.181818181818,339.40000000000003,739.9000000000001,26.6,23.3,82.47,0.0,5.4,6.5,135.0,1012.8,89.1,6.0,466,52.2
33,7,123,2397.3583333333336,361.5,745.1083333333333,30.4,22.2,61.75,0.0,6.5,6.1,130.0,1011.8,89.1,6.0,418,70.4
34,8,123,2443.2818181818184,281.1,736.0,32.7,17.7,40.87,0.0,6.8,4.9,282.3,1008.1,93.7,5.1,795,85.0
35,9,123,2520.0416666666665,228.7,724.8666666666667,32.3,18.7,44.61,0.0,8.6,6.8,60.0,1010.0,89.1,6.0,879,97.3
