,name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
0,"17.4116, 78.3987",2023-04-02T00:00:00,76.9,76.9,66.1,69.35,0.0,0.0,,0,0,8.9,8.1,110.0,1012.0,50.0,3.7,0.0,,0,10,Partially cloudy,partly-cloudy-night,VOHS
1,"17.4116, 78.3987",2023-04-02T01:00:00,76.9,76.9,66.1,69.35,0.0,0.0,,0,0,8.9,9.2,60.0,1012.0,50.0,3.7,0.0,,0,10,Partially cloudy,partly-cloudy-night,VOHS
2,"17.4116, 78.3987",2023-04-02T02:00:00,75.1,75.1,66.1,73.62,0.0,0.0,,0,0,9.4,9.2,70.0,1011.0,50.0,3.7,0.0,,0,30,Partially cloudy,partly-cloudy-night,VOHS
3,"17.4116, 78.3987",2023-04-02T03:00:00,73.3,73.3,64.3,73.45,0.0,0.0,,0,0,4.9,9.2,90.0,1010.0,50.0,3.7,0.0,,0,30,Partially cloudy,partly-cloudy-night,VOHS
4,"17.4116, 78.3987",2023-04-02T04:00:00,71.5,71.5,64.3,78.06,0.0,0.0,,0,0,3.8,8.1,90.0,1011.0,50.0,3.7,0.0,,0,30,Partially cloudy,partly-cloudy-night,VOHS
5,"17.4116, 78.3987",2023-04-02T05:00:00,75.3,75.3,67.7,77.4,0.0,0.0,,0,0,5.8,5.1,80.8,1008.0,77.4,15.0,0.0,,0,10,Partially cloudy,partly-cloudy-night,remote
6,"17.4116, 78.3987",2023-04-02T06:00:00,69.7,69.7,64.3,82.98,0.0,0.0,,0,0,6.7,4.7,76.2,1012.0,50.0,3.1,0.0,,0,10,Partially cloudy,partly-cloudy-night,VOHS
7,"17.4116, 78.3987",2023-04-02T07:00:00,77.9,77.9,68.9,73.89,0.004,100.0,rain,0,0,5.4,0.7,0.0,1013.0,50.0,2.6,4.0,0.0,0,10,"Rain, Partially cloudy",rain,"VOHY,VOHS"
8,"17.4116, 78.3987",2023-04-02T08:00:00,81.8,85.5,70.0,67.57,0.004,100.0,rain,0,0,4.0,3.6,150.0,1014.0,25.0,2.6,142.0,0.5,1,30,"Rain, Partially cloudy",rain,"VOHY,VOHS"
9,"17.4116, 78.3987",2023-04-02T09:00:00,87.4,90.4,66.9,50.72,0.004,100.0,rain,0,0,2.5,1.7,210.0,1014.0,25.0,3.1,391.0,1.4,4,10,"Rain, Partially cloudy",rain,"VOHY,VOHS"
10,"17.4116, 78.3987",2023-04-02T10:00:00,87.7,88.9,63.6,44.79,0.0,0.0,,0,0,2.2,3.6,20.0,1014.0,25.0,3.7,628.0,2.3,6,10,Partially cloudy,partly-cloudy-day,"VOHY,VOHS"
11,"17.4116, 78.3987",2023-04-02T11:00:00,89.5,88.2,57.1,33.59,0.0,0.0,,0,0,2.9,4.9,15.0,1013.2,28.8,3.7,825.0,3.0,8,10,Partially cloudy,partly-cloudy-day,"VOHY,VOHS"
12,"17.4116, 78.3987",2023-04-02T12:00:00,91.3,90.6,58.9,33.86,0.0,0.0,,0,0,4.0,5.8,159.0,1012.2,50.0,3.7,963.0,3.5,10,10,Partially cloudy,partly-cloudy-day,"VOHY,VOHS"
13,"17.4116, 78.3987",2023-04-02T13:00:00,91.6,89.8,55.6,29.78,0.0,0.0,,0,0,5.4,4.7,300.0,1011.0,50.0,3.7,1027.0,3.7,10,10,Partially cloudy,partly-cloudy-day,"VOHY,VOHS"
14,"17.4116, 78.3987",2023-04-02T14:00:00,91.6,88.9,52.0,26.11,0.0,0.0,,0,0,6.3,6.8,277.0,1010.0,50.0,3.7,1014.0,3.7,10,10,Partially cloudy,partly-cloudy-day,"VOHY,VOHS"
15,"17.4116, 78.3987",2023-04-02T15:00:00,93.4,91.0,53.5,26.11,0.0,0.0,,0,0,7.4,5.6,360.0,1009.0,50.0,3.7,925.0,3.3,9,10,Partially cloudy,partly-cloudy-day,"VOHY,VOHS"
16,"17.4116, 78.3987",2023-04-02T16:00:00,93.4,90.7,52.0,24.69,0.0,0.0,,0,0,7.8,5.6,328.0,1008.2,50.0,3.7,768.0,2.8,8,10,Partially cloudy,partly-cloudy-day,"VOHY,VOHS"
17,"17.4116, 78.3987",2023-04-02T17:00:00,91.6,88.6,50.5,24.68,0.0,0.0,,0,0,7.4,6.0,354.0,1009.0,50.0,3.7,555.0,2.0,6,10,Partially cloudy,partly-cloudy-day,"VOHY,VOHS"
18,"17.4116, 78.3987",2023-04-02T18:00:00,89.8,86.9,50.5,26.11,0.0,0.0,,0,0,5.4,3.7,26.0,1010.0,50.0,3.7,309.0,1.1,3,10,Partially cloudy,partly-cloudy-day,"VOHY,VOHS"
19,"17.4116, 78.3987",2023-04-02T19:00:00,85.9,87.4,64.3,48.6,0.0,0.0,,0,0,6.9,5.2,98.0,1010.2,50.0,3.7,70.0,0.3,0,10,Partially cloudy,partly-cloudy-night,"VOHY,VOHS"
20,"17.4116, 78.3987",2023-04-02T20:00:00,90.4,86.3,36.4,14.95,0.0,4.8,,0,0,11.4,8.5,331.7,1007.0,19.3,15.0,0.0,,0,10,Clear,clear-night,
21,"17.4116, 78.3987",2023-04-02T21:00:00,88.6,84.8,36.6,15.94,0.0,4.8,,0,0,13.9,8.3,356.6,1008.0,5.0,15.0,0.0,,0,10,Clear,clear-night,
22,"17.4116, 78.3987",2023-04-02T22:00:00,85.9,83.3,47.7,26.68,0.0,4.8,,0,0,19.0,12.5,75.2,1009.0,24.3,15.0,0.0,,0,10,Partially cloudy,partly-cloudy-night,
23,"17.4116, 78.3987",2023-04-02T23:00:00,82.7,83.3,61.2,48.44,0.0,4.8,,0,0,18.1,12.1,126.3,1009.0,18.5,15.0,0.0,,0,5,Clear,clear-night,
24,"17.4116, 78.3987",2023-04-03T00:00:00,80.3,82.1,64.7,58.94,0.0,4.8,,0,0,17.9,11.4,122.1,1009.0,30.0,15.0,0.0,,0,3,Partially cloudy,partly-cloudy-night,
25,"17.4116, 78.3987",2023-04-03T01:00:00,79.6,79.6,66.1,63.44,0.0,4.8,,0,0,15.7,9.6,131.7,1008.0,28.7,15.0,0.0,,0,3,Partially cloudy,partly-cloudy-night,
26,"17.4116, 78.3987",2023-04-03T02:00:00,78.3,78.3,67.6,69.5,0.0,4.8,,0,0,14.1,8.7,137.3,1008.0,65.5,15.0,0.0,,0,30,Partially cloudy,partly-cloudy-night,
27,"17.4116, 78.3987",2023-04-03T03:00:00,77.4,77.4,67.9,72.49,0.0,4.8,,0,0,13.2,7.6,146.6,1007.0,36.3,15.0,0.0,,0,30,Partially cloudy,partly-cloudy-night,
28,"17.4116, 78.3987",2023-04-03T04:00:00,76.9,76.9,67.9,73.79,0.0,4.8,,0,0,12.1,6.7,147.9,1007.0,79.8,15.0,0.0,,0,30,Partially cloudy,partly-cloudy-night,
29,"17.4116, 78.3987",2023-04-03T05:00:00,76.2,76.2,68.4,76.99,0.0,4.8,,0,0,11.6,6.9,131.1,1007.0,82.3,15.0,0.0,,0,30,Partially cloudy,partly-cloudy-night,
30,"17.4116, 78.3987",2023-04-03T06:00:00,75.1,75.1,69.2,81.81,0.0,4.8,,0,0,11.9,7.2,125.5,1008.0,93.1,15.0,0.0,,0,30,Overcast,cloudy,
31,"17.4116, 78.3987",2023-04-03T07:00:00,75.1,75.1,69.0,81.31,0.0,0.0,,0,0,8.9,5.6,127.9,1009.0,88.8,15.0,4.0,0.0,0,30,Partially cloudy,partly-cloudy-day,
32,"17.4116, 78.3987",2023-04-03T08:00:00,77.8,77.8,68.1,72.07,0.0,0.0,,0,0,8.1,6.0,144.5,1010.0,51.8,15.0,143.0,0.5,1,30,Partially cloudy,partly-cloudy-day,
33,"17.4116, 78.3987",2023-04-03T09:00:00,82.3,84.4,65.9,57.74,0.0,0.0,,0,0,8.3,6.7,167.7,1010.0,61.7,15.0,394.0,1.4,4,30,Partially cloudy,partly-cloudy-day,
34,"17.4116, 78.3987",2023-04-03T10:00:00,86.3,87.1,62.9,45.68,0.0,0.0,,0,0,6.5,6.3,180.9,1010.0,13.9,15.0,632.0,2.3,6,10,Clear,clear-day,
35,"17.4116, 78.3987",2023-04-03T11:00:00,89.9,89.2,59.3,35.88,0.0,0.0,,0,0,5.1,5.8,176.5,1010.0,5.0,15.0,829.0,3.0,8,3,Clear,clear-day,
36,"17.4116, 78.3987",2023-04-03T12:00:00,93.1,90.6,52.8,25.65,0.0,0.0,,0,0,4.0,4.9,154.2,1009.0,5.0,15.0,965.0,3.5,10,10,Clear,clear-day,
37,"17.4116, 78.3987",2023-04-03T13:00:00,95.4,92.2,49.2,20.89,0.0,0.0,,0,0,4.9,4.0,151.3,1008.0,19.2,15.0,1030.0,3.7,10,10,Clear,clear-day,
38,"17.4116, 78.3987",2023-04-03T14:00:00,96.9,93.3,47.2,18.56,0.0,0.0,,0,0,4.9,2.9,167.2,1006.0,26.7,15.0,1016.0,3.7,10,10,Partially cloudy,partly-cloudy-day,
39,"17.4116, 78.3987",2023-04-03T15:00:00,97.6,93.8,45.9,17.31,0.0,0.0,,0,0,4.3,2.5,170.3,1005.0,29.7,15.0,912.0,3.3,9,10,Partially cloudy,partly-cloudy-day,
40,"17.4116, 78.3987",2023-04-03T16:00:00,98.0,94.0,45.2,16.66,0.0,0.0,,0,0,4.9,4.0,153.7,1005.0,17.9,15.0,751.0,2.7,8,10,Clear,clear-day,
41,"17.4116, 78.3987",2023-04-03T17:00:00,97.4,93.6,45.8,17.29,0.0,0.0,,0,0,7.4,6.5,141.2,1004.0,70.0,15.0,553.0,2.0,6,10,Partially cloudy,partly-cloudy-day,
42,"17.4116, 78.3987",2023-04-03T18:00:00,95.6,92.3,48.6,20.36,0.0,0.0,,0,0,6.3,11.0,131.6,1005.0,95.2,15.0,195.0,0.7,2,10,Overcast,cloudy,
43,"17.4116, 78.3987",2023-04-03T19:00:00,92.6,89.8,51.5,24.9,0.0,0.0,,0,0,12.8,11.4,123.4,1006.0,97.6,15.0,17.0,0.1,0,10,Overcast,cloudy,
44,"17.4116, 78.3987",2023-04-03T20:00:00,91.7,88.9,51.7,25.78,0.0,0.0,,0,0,11.4,8.3,116.3,1007.0,100.0,15.0,0.0,,0,10,Overcast,cloudy,
45,"17.4116, 78.3987",2023-04-03T21:00:00,90.1,87.7,53.1,28.59,0.0,0.0,,0,0,16.8,13.0,138.0,1008.0,100.0,15.0,0.0,,0,10,Overcast,cloudy,
46,"17.4116, 78.3987",2023-04-03T22:00:00,86.8,87.2,61.8,43.23,0.0,0.0,,0,0,19.7,13.4,140.9,1008.0,100.0,15.0,0.0,,0,10,Overcast,cloudy,
47,"17.4116, 78.3987",2023-04-03T23:00:00,85.2,86.7,64.3,49.74,0.0,0.0,,0,0,19.0,12.3,139.6,1009.0,100.0,15.0,0.0,,0,30,Overcast,cloudy,
48,"17.4116, 78.3987",2023-04-04T00:00:00,83.7,85.7,65.4,54.09,0.0,0.0,,0,0,16.3,11.2,138.6,1009.0,99.5,15.0,0.0,,0,30,Overcast,cloudy,
49,"17.4116, 78.3987",2023-04-04T01:00:00,82.3,84.7,66.5,58.83,0.0,0.0,,0,0,15.2,10.1,130.1,1008.0,96.1,15.0,0.0,,0,30,Overcast,cloudy,
50,"17.4116, 78.3987",2023-04-04T02:00:00,81.9,84.3,66.6,59.89,0.0,0.0,,0,0,15.2,8.9,132.7,1008.0,89.5,15.0,0.0,,0,30,Partially cloudy,partly-cloudy-night,
51,"17.4116, 78.3987",2023-04-04T03:00:00,81.4,83.8,66.8,61.33,0.0,0.0,,0,0,13.9,8.1,142.4,1007.0,66.7,15.0,0.0,,0,30,Partially cloudy,partly-cloudy-night,
52,"17.4116, 78.3987",2023-04-04T04:00:00,81.1,83.4,66.6,61.67,0.0,0.0,,0,0,13.4,8.3,154.7,1007.0,25.7,15.0,0.0,,0,30,Partially cloudy,partly-cloudy-night,
53,"17.4116, 78.3987",2023-04-04T05:00:00,80.0,80.0,67.0,64.68,0.0,0.0,,0,0,13.0,8.1,150.9,1008.0,10.1,15.0,0.0,,0,30,Clear,clear-night,
54,"17.4116, 78.3987",2023-04-04T06:00:00,79.1,79.1,67.4,67.45,0.004,0.0,rain,0,0,10.3,6.7,142.1,1009.0,10.6,15.0,0.0,,0,30,Clear,clear-night,
55,"17.4116, 78.3987",2023-04-04T07:00:00,79.1,79.1,67.7,68.29,0.0,0.0,,0,0,10.5,6.7,149.4,1009.0,21.6,15.0,4.0,0.0,0,30,Partially cloudy,partly-cloudy-day,
56,"17.4116, 78.3987",2023-04-04T08:00:00,81.8,84.2,66.8,60.62,0.0,0.0,,0,0,15.2,7.8,172.9,1010.0,21.4,15.0,141.0,0.5,1,30,Partially cloudy,partly-cloudy-day,
57,"17.4116, 78.3987",2023-04-04T09:00:00,85.4,87.0,64.7,50.08,0.0,0.0,,0,0,14.3,9.8,185.0,1011.0,7.3,15.0,390.0,1.4,4,30,Clear,clear-day,
58,"17.4116, 78.3987",2023-04-04T10:00:00,89.0,89.6,62.3,41.15,0.0,0.0,,0,0,10.7,9.8,184.8,1011.0,2.9,15.0,626.0,2.3,6,10,Clear,clear-day,
59,"17.4116, 78.3987",2023-04-04T11:00:00,92.0,91.7,59.8,34.19,0.0,0.0,,0,0,7.8,8.7,182.0,1010.0,5.0,15.0,820.0,3.0,8,10,Clear,clear-day,
60,"17.4116, 78.3987",2023-04-04T12:00:00,94.2,93.1,57.5,29.41,0.0,0.0,,0,0,6.0,7.4,178.1,1009.0,41.6,15.0,955.0,3.4,10,10,Partially cloudy,partly-cloudy-day,
61,"17.4116, 78.3987",2023-04-04T13:00:00,96.2,94.6,55.8,26.1,0.0,0.0,,0,0,4.3,6.0,169.0,1008.0,92.7,15.0,928.0,3.3,9,10,Overcast,cloudy,
62,"17.4116, 78.3987",2023-04-04T14:00:00,95.6,93.9,55.3,26.02,0.0,0.0,,0,0,5.1,6.0,125.3,1007.0,96.2,15.0,490.0,1.8,5,10,Overcast,cloudy,
63,"17.4116, 78.3987",2023-04-04T15:00:00,94.9,93.7,57.1,28.39,0.004,0.0,rain,0,0,9.4,14.1,105.4,1006.0,45.3,15.0,477.0,1.7,5,10,Partially cloudy,partly-cloudy-day,
64,"17.4116, 78.3987",2023-04-04T16:00:00,94.4,93.3,57.6,29.43,0.0,0.0,,0,0,11.4,14.1,108.6,1006.0,16.2,15.0,685.0,2.5,7,10,Clear,clear-day,
65,"17.4116, 78.3987",2023-04-04T17:00:00,94.9,93.2,55.7,26.95,0.0,0.0,,0,0,5.4,7.8,129.6,1006.0,54.7,15.0,492.0,1.8,5,10,Partially cloudy,partly-cloudy-day,
66,"17.4116, 78.3987",2023-04-04T18:00:00,93.5,91.8,55.8,28.36,0.0,0.0,,0,0,7.4,8.7,149.4,1007.0,67.1,15.0,156.0,0.6,2,10,Partially cloudy,partly-cloudy-day,
67,"17.4116, 78.3987",2023-04-04T19:00:00,89.3,89.1,60.3,37.93,0.0,0.0,,0,0,16.6,15.2,119.2,1007.0,98.3,15.0,31.0,0.1,0,10,Overcast,cloudy,
