name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations,,,,,,
"17.4116, 78.3987",2022-05-01T00:00:00,29.5,29.3,15,41.31,0,0,,0,0,24.5,8.5,180,1008,50,6,0,,0,10,Partially cloudy,partly-cloudy-night,"43128599999,VOHS",,,,,,
"17.4116, 78.3987",2022-05-01T01:00:00,29,28.8,15,42.56,0,0,,0,0,29.5,8.5,150,1007,50,6,0,,0,10,Partially cloudy,partly-cloudy-night,"43128599999,VOHS",,,,,,
"17.4116, 78.3987",2022-05-01T02:00:00,27.5,28.4,18.2,56.82,0,0,,0,0,30.6,1.1,154.9,1002.6,42.4,4.5,0,,0,10,Partially cloudy,partly-cloudy-night,"43128599999,43128099999,VOHS",,,,,,
"17.4116, 78.3987",2022-05-01T03:00:00,27,27.5,16,50.99,0,0,,0,0,26.3,8.4,195,1007,50,6,0,,0,10,Partially cloudy,partly-cloudy-night,"43128599999,VOHS",,,,,,
"17.4116, 78.3987",2022-05-01T04:00:00,28,28.6,17,51.25,0,0,,0,0,23.8,11.2,330,1008,50,6,0,,0,10,Partially cloudy,partly-cloudy-night,"43128599999,VOHS",,,,,,
"17.4116, 78.3987",2022-05-01T05:00:00,26.1,26.1,16,53.59,0,0,,0,0,27,0.8,255.7,1003.9,50,4.2,0,,0,10,Partially cloudy,partly-cloudy-night,"43128599999,43128099999,VOHS",,,,,,
"17.4116, 78.3987",2022-05-01T06:00:00,27,27.7,17,54.33,0,0,,0,0,19.4,8.4,285,1009,50,5,0,,0,10,Partially cloudy,partly-cloudy-day,"43128599999,VOHS",,,,,,
"17.4116, 78.3987",2022-05-01T07:00:00,25.5,25.5,17.7,62.07,0,0,,0,0,19.8,2.9,320,1009,50,5,23,0.1,0,10,Partially cloudy,partly-cloudy-day,"VOHY,43128599999,43128099999,VOHS",,,,,,
"17.4116, 78.3987",2022-05-01T08:00:00,31.5,30.6,13.4,33.35,0,0,,0,0,25.6,5.6,333,1005,39.4,8.8,216,0.8,2,10,Partially cloudy,partly-cloudy-day,"43083099999,43128599999,43128099999,VOHS",,,,,,
"17.4116, 78.3987",2022-05-01T09:00:00,32.3,31.8,14.8,34.66,0,0,,0,0,23.4,6.2,347,1006,30,6,465,1.7,5,10,Partially cloudy,partly-cloudy-day,"4,31,28,59,99,99,43,12,00,00,000",,,,,,
"17.4116, 78.3987",2022-05-01T10:00:00,34.4,33.9,14.6,30.45,0,0,,0,0,18,6.8,345,1010,29.4,6,694,2.5,7,10,Partially cloudy,partly-cloudy-day,"43128599999,43128099999,VOHS",,,,,,
"17.4116, 78.3987",2022-05-01T11:00:00,37.9,36.2,9.7,18.31,0,0,,0,0,8.6,4.9,340,1003.4,37,9,878,3.2,9,10,Partially cloudy,partly-cloudy-day,"43128599999,43128099999,VOHS",,,,,,
"17.4116, 78.3987",2022-05-01T12:00:00,36.5,36.1,14.3,26.67,0,0,,0,0,10.4,7.4,25,1008,29.4,6,1001,3.6,10,10,Partially cloudy,partly-cloudy-day,"43128599999,43128099999,VOHS",,,,,,
