name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"17.4116, 78.3987",2022-05-02T00:00:00,88.7,89.4,62.6,41.86,0,0,,0,0,18.6,9.2,130,1008,50,3.1,0,,0,10,Partially cloudy,partly-cloudy-night,"43128599999,VOHS"
"17.4116, 78.3987",2022-05-02T01:00:00,86,87.1,63.5,47.07,0,0,,0,0,16.3,5.8,110,1008,50,3.1,0,,0,10,Partially cloudy,partly-cloudy-night,"43128599999,VOHS"
"17.4116, 78.3987",2022-05-02T02:00:00,87.4,90.1,66.5,50,0,0,,0,0,17.4,8.6,139,1003.4,80.4,5.5,0,,0,10,Partially cloudy,partly-cloudy-night,"43128599999,43128099999,VOHS"
"17.4116, 78.3987",2022-05-02T03:00:00,84.2,86.1,65.3,53.1,0,0,,0,0,13.6,8.6,170,1007,50,3.1,0,,0,60,Partially cloudy,partly-cloudy-night,"43128599999,VOHS"
"17.4116, 78.3987",2022-05-02T04:00:00,84.2,85,62.6,48.35,0,0,,0,0,11.6,9.2,195,1007,50,3.1,0,,0,60,Partially cloudy,partly-cloudy-night,"43128599999,VOHS"
"17.4116, 78.3987",2022-05-02T05:00:00,84.3,86.9,66.9,56.11,0,0,,0,0,13,5.5,158,1004.4,57.6,5.5,0,,0,30,Partially cloudy,partly-cloudy-night,"43128599999,43128099999,VOHS"
"17.4116, 78.3987",2022-05-02T06:00:00,84.2,86.5,66.2,54.83,0,0,,0,0,13.9,9.7,220,1009,50,3.1,0,,0,30,Partially cloudy,partly-cloudy-day,"43128599999,VOHS"
"17.4116, 78.3987",2022-05-02T07:00:00,84.2,88.3,69.5,61.51,0,0,,0,0,11.6,5.8,256,1010,83.4,3.6,22,0.1,0,10,Partially cloudy,partly-cloudy-day,"VOHY,43128599999,43128099999,VOHS"
"17.4116, 78.3987",2022-05-02T08:00:00,87.3,91.8,69.4,55.32,0,0,,0,0,10.1,5.6,265,1007.1,60.3,4.9,159,0.6,2,10,Partially cloudy,partly-cloudy-day,"VOHY,43083099999,43128599999,43128099999,VOHS"
"17.4116, 78.3987",2022-05-02T09:00:00,89.7,92.8,66.7,46.84,0,0,,0,0,10.7,6.4,285,1011,83.4,3.7,457,1.6,5,10,Partially cloudy,partly-cloudy-day,"VOHY,43128599999,43128099999,VOHS"
"17.4116, 78.3987",2022-05-02T10:00:00,91.5,93.6,64.8,41.4,0,0,,0,0,12.1,5,270,1010,50,3.7,607,2.2,6,10,Partially cloudy,partly-cloudy-day,"VOHY,43128599999,43128099999,VOHS"
"17.4116, 78.3987",2022-05-02T11:00:00,95.2,97.1,63.7,35.51,0,0,,0,0,10.7,4.7,299,1006.4,31.6,4.9,481,1.7,5,10,Partially cloudy,partly-cloudy-day,"VOHY,43128599999,43128099999,VOHS"
"17.4116, 78.3987",2022-05-02T12:00:00,95.4,96.7,62.6,34.01,0,0,,0,0,8.9,4,326,1009,30.9,3.7,609,2.2,6,10,Partially cloudy,partly-cloudy-day,"VOHY,43128599999,43128099999,VOHS"
"17.4116, 78.3987",2022-05-02T13:00:00,97.2,97.1,59.3,28.61,0,0,,0,0,5.6,5,352,1007,50,3.7,915,3.3,9,10,Partially cloudy,partly-cloudy-day,"VOHY,43128599999,43128099999,VOHS"
"17.4116, 78.3987",2022-05-02T14:00:00,101.9,102.7,59.9,25.39,0,0,,0,0,6.5,3.5,310,1003.2,45.4,4.9,994,3.6,10,10,Partially cloudy,partly-cloudy-day,"VOHY,43128599999,43128099999,VOHS"
"17.4116, 78.3987",2022-05-02T15:00:00,98.9,99.5,60.3,28.18,0,0,,0,0,8.1,5.3,18,1006,50,3.7,828,3,8,10,Partially cloudy,partly-cloudy-day,"VOHY,43128599999,43128099999,VOHS"
"17.4116, 78.3987",2022-05-02T16:00:00,100.7,100.1,57.2,23.91,0,0,,0,0,8.5,4.9,8,1006,50,3.7,741,2.7,7,10,Partially cloudy,partly-cloudy-day,"VOHY,43128599999,43128099999,VOHS"
"17.4116, 78.3987",2022-05-02T17:00:00,101.6,100.1,54.4,21.02,0,0,,0,0,6.7,2.9,47,1002.2,45.3,4.9,425,1.5,4,10,Partially cloudy,partly-cloudy-day,"VOHY,43083099999,43128599999,43128099999,VOHS"
"17.4116, 78.3987",2022-05-02T18:00:00,95.4,94.9,58.7,29.65,0,0,,0,0,18.8,2.8,63,1014.5,50,3.7,183,0.7,2,10,Partially cloudy,partly-cloudy-day,"VOHY,43128599999,43128099999,VOHS"
"17.4116, 78.3987",2022-05-02T19:00:00,90.4,90.8,61.8,38.64,0,0,,0,0,13.2,0.8,28,1007,30.9,3.7,65,0.2,0,10,Partially cloudy,partly-cloudy-night,"VOHY,43128599999,43128099999,VOHS"
"17.4116, 78.3987",2022-05-02T20:00:00,90.9,90.3,59.3,34.72,0,0,,0,0,12.8,1.2,130,1004.4,40.2,4.9,0,,0,10,Partially cloudy,partly-cloudy-night,"VOHY,43128599999,43128099999,VOHS"
